File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
1003013,03/17/2010,2010,3,1100 BLOCK,E Michigan Av,3/18/2010,Municipal Waste,Owner Abated,3/26/2010,Not Available,No, 0.0,"1100 E Michigan Av Urbana, IL"
1003012,03/16/2010,2010,3,1200 BLOCK,N Goodwin Av,3/17/2010,Municipal Waste,City Abated,3/25/2010,Not Available,No, 0.0,"1200 N Goodwin Av Urbana, IL"
1003010,03/10/2010,2010,3,1300 BLOCK,E Silver St,3/10/2010,Municipal Waste,Owner Abated,3/12/2010,Not Available,No, 0.0,"1300 E Silver St Urbana, IL"
1003011,03/10/2010,2010,3,1000 BLOCK,N Lincoln Av,3/10/2010,Municipal Waste,Owner Abated,3/18/2010,Not Available,No, 0.0,"1000 N Lincoln Av Urbana, IL"
1003008,03/09/2010,2010,3,600 BLOCK,W Ohio St,3/9/2010,Municipal Waste,Owner Abated,3/17/2010,Not Available,No, 0.0,"600 W Ohio St Urbana, IL"
1003009,03/09/2010,2010,3,2300 BLOCK,E Main St,3/10/2010,Municipal Waste,Owner Abated,3/18/2010,Not Available,No, 0.0,"2300 E Main St Urbana, IL"
1003007,03/08/2010,2010,3,900 BLOCK,N Division Av,3/9/2010,Municipal Waste,Owner Abated,3/17/2010,Not Available,No, 0.0,"900 N Division Av Urbana, IL"
1003005,03/04/2010,2010,3,400 BLOCK,S Glover Av,3/4/2010,Municipal Waste,Owner Abated,3/12/2010,Not Available,No, 0.0,"400 S Glover Av Urbana, IL"
1003006,03/04/2010,2010,3,1200 BLOCK,W Hill St,3/4/2010,Municipal Waste,City Abated,3/12/2010,Not Available,No, 0.0,"1200 W Hill St Urbana, IL"
1003004,03/03/2010,2010,3,700 BLOCK,W Illinois St,3/4/2010,Municipal Waste,City Abated,3/12/2010,Not Available,No, 0.0,"700 W Illinois St Urbana, IL"
1003002,03/02/2010,2010,3,1200 BLOCK,N Busey Av,3/3/2010,Municipal Waste,Owner Abated,3/11/2010,Not Available,No, 0.0,"1200 N Busey Av Urbana, IL"
1003003,03/02/2010,2010,3,1200 BLOCK,E Main St,3/3/2010,Municipal Waste,Owner Abated,3/11/2010,Not Available,No, 0.0,"1200 E Main St Urbana, IL"
1003001,03/01/2010,2010,3,1000 BLOCK,N Division Av,3/2/2010,Municipal Waste,Owner Abated,3/10/2010,Not Available,No, 0.0,"1000 N Division Av Urbana, IL"
1002008,02/26/2010,2010,2,500 BLOCK,W Main St,2/26/2010,Municipal Waste,Invalid,,Not Available,No, 0.0,"500 W Main St Urbana, IL"
1002007,02/23/2010,2010,2,700 BLOCK,S Cottage Grove Av,2/24/2010,Municipal Waste,Owner Abated,3/4/2010,Not Available,No, 0.0,"700 S Cottage Grove Av Urbana, IL"
1002006,02/22/2010,2010,2,600 BLOCK,S Race St,2/23/2010,Municipal Waste,Owner Abated,3/3/2010,Not Available,No, 0.0,"600 S Race St Urbana, IL"
1002002,02/03/2010,2010,2,900 BLOCK,N Division Av,2/4/2010,Municipal Waste,Owner Abated,2/12/2010,Not Available,No, 0.0,"900 N Division Av Urbana, IL"
1002003,02/03/2010,2010,2,1000 BLOCK,N Division Av,2/4/2010,Municipal Waste,Owner Abated,2/12/2010,Not Available,No, 0.0,"1000 N Division Av Urbana, IL"
1002004,02/03/2010,2010,2,1000 BLOCK,N Division Av,2/4/2010,Municipal Waste,Owner Abated,2/12/2010,Not Available,No, 0.0,"1000 N Division Av Urbana, IL"
1002005,02/03/2010,2010,2,1500 BLOCK,S Montgomery St,2/4/2010,Municipal Waste,Owner Abated,2/12/2010,Not Available,No, 0.0,"1500 S Montgomery St Urbana, IL"
1002001,02/01/2010,2010,2,1400 BLOCK,E Michigan Av,2/2/2010,Municipal Waste,Owner Abated,2/10/2010,Not Available,No, 0.0,"1400 E Michigan Av Urbana, IL"
1001012,01/29/2010,2010,1,300 BLOCK,W Green St,1/29/2010,Municipal Waste,Owner Abated,2/1/2010,Not Available,No, 0.0,"300 W Green St Urbana, IL"
1001010,01/25/2010,2010,1,400 BLOCK,S Cottage Grove Av,1/25/2010,Weeds/Grass,Owner Abated,2/2/2010,Not Available,No, 0.0,"400 S Cottage Grove Av Urbana, IL"
1001009,01/22/2010,2010,1,800 BLOCK,E Hawthorne Dr,1/25/2010,Municipal Waste,Owner Abated,2/2/2010,Not Available,No, 0.0,"800 E Hawthorne Dr Urbana, IL"
1001004,01/20/2010,2010,1,800 BLOCK,E High St,1/20/2010,Municipal Waste,Owner Abated,1/28/2010,Not Available,No, 0.0,"800 E High St Urbana, IL"
1001005,01/20/2010,2010,1,1200 BLOCK,A E Mitchem Dr,1/20/2010,Weeds/Grass,Owner Abated,1/28/2010,Not Available,No, 0.0,"1200 A E Mitchem Dr Urbana, IL"
1001006,01/20/2010,2010,1,800 BLOCK,W Delaware Av,1/20/2010,Weeds/Grass,Owner Abated,1/28/2010,Not Available,No, 0.0,"800 W Delaware Av Urbana, IL"
1001007,01/20/2010,2010,1,500 BLOCK,W High St,1/20/2010,Weeds/Grass,Owner Abated,1/28/2010,Not Available,No, 0.0,"500 W High St Urbana, IL"
1001008,01/20/2010,2010,1,1200 BLOCK,S Patton Pl,1/21/2010,Municipal Waste,Owner Abated,1/29/2010,Not Available,No, 0.0,"1200 S Patton Pl Urbana, IL"
1001003,01/13/2010,2010,1,700 BLOCK,E Fairlawn Dr,1/14/2010,Municipal Waste,Owner Abated,1/22/2010,Not Available,No, 0.0,"700 E Fairlawn Dr Urbana, IL"
1001002,01/12/2010,2010,1,900 BLOCK,S Wabash Av,1/13/2010,Weeds/Grass,Owner Abated,1/21/2010,Not Available,No, 0.0,"900 S Wabash Av Urbana, IL"
1001011,01/12/2010,2010,1,1600 BLOCK,Ivanhoe Way,1/12/2010,Municipal Waste,City Abated,1/12/2010,Not Available,No, 0.0,"1600 Ivanhoe Way Urbana, IL"
1001001,01/11/2010,2010,1,1000 BLOCK,N Goodwin Av,1/12/2010,Municipal Waste,Owner Abated,1/20/2010,Not Available,No, 0.0,"1000 N Goodwin Av Urbana, IL"
912009,12/21/2009,2009,12,1300 BLOCK,E Fairlawn Dr,12/21/2009,Weeds/Grass,Owner Abated,12/29/2009,Not Available,No, 0.0,"1300 E Fairlawn Dr Urbana, IL"
912010,12/21/2009,2009,12,1200 BLOCK,Patton Pl,12/21/2009,Municipal Waste,Owner Abated,12/29/2009,Not Available,No, 0.0,"1200 Patton Pl Urbana, IL"
912011,12/21/2009,2009,12,1200 BLOCK,Patton Pl,12/21/2009,Weeds/Grass,Owner Abated,12/29/2009,Not Available,No, 0.0,"1200 Patton Pl Urbana, IL"
912005,12/15/2009,2009,12,1800 BLOCK,S Race St,12/15/2009,Municipal Waste,Owner Abated,12/23/2009,Not Available,No, 0.0,"1800 S Race St Urbana, IL"
912008,12/15/2009,2009,12,1000 BLOCK,N Berkley Av,12/11/2009,Municipal Waste,City Abated,12/15/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
912004,12/14/2009,2009,12,2200 BLOCK,E Country Squire Dr,12/15/2009,Municipal Waste,City Abated,12/23/2009,Not Available,No, 0.0,"2200 E Country Squire Dr Urbana, IL"
912006,12/11/2009,2009,12,1400 BLOCK,W Beslin St,12/11/2009,Municipal Waste,City Abated,12/11/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
912007,12/11/2009,2009,12,1000 BLOCK,N Berkley Av,12/11/2009,Weeds/Grass,City Abated,12/11/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
912003,12/10/2009,2009,12,1200 BLOCK,W Hill St,12/11/2009,Municipal Waste,Owner Abated,12/19/2009,Not Available,No, 0.0,"1200 W Hill St Urbana, IL"
912002,12/07/2009,2009,12,2000 BLOCK,E Michigan Av,12/8/2009,Municipal Waste,Owner Abated,12/16/2009,Not Available,No, 0.0,"2000 E Michigan Av Urbana, IL"
912001,12/01/2009,2009,12,1200 BLOCK,W Eads St,12/2/2009,Municipal Waste,Owner Abated,12/10/2009,Not Available,No, 0.0,"1200 W Eads St Urbana, IL"
911011,11/17/2009,2009,11,1300 BLOCK,E Laurel Dr,11/17/2009,Municipal Waste,Owner Abated,11/25/2009,Not Available,No, 0.0,"1300 E Laurel Dr Urbana, IL"
911008,11/16/2009,2009,11,2000 BLOCK,Vawter,11/17/2009,Municipal Waste,Owner Abated,11/25/2009,Not Available,No, 0.0,"2000 Vawter Urbana, IL"
911009,11/16/2009,2009,11,1600 BLOCK,Ivanhoe Way,11/17/2009,Municipal Waste,City Abated,11/25/2009,Not Available,No, 0.0,"1600 Ivanhoe Way Urbana, IL"
911010,11/16/2009,2009,11,700 BLOCK,W Illinois St,11/17/2009,Municipal Waste,Owner Abated,11/25/2009,Not Available,No, 0.0,"700 W Illinois St Urbana, IL"
911007,11/13/2009,2009,11,400 BLOCK,E Highland St,11/13/2009,Weeds/Grass,Owner Abated,11/16/2009,Not Available,No, 0.0,"400 E Highland St Urbana, IL"
911006,11/12/2009,2009,11,1100 BLOCK,S Austin Dr,11/13/2009,Weeds/Grass,Owner Abated,11/21/2009,Not Available,No, 0.0,"1100 S Austin Dr Urbana, IL"
911004,11/10/2009,2009,11,0 BLOCK,Penn Ct,11/12/2009,Weeds/Grass,Owner Abated,11/20/2009,Not Available,No, 0.0,"0 Penn Ct Urbana, IL"
911005,11/10/2009,2009,11,500 BLOCK,W California Av,11/12/2009,Municipal Waste,Owner Abated,11/20/2009,Not Available,No, 0.0,"500 W California Av Urbana, IL"
911003,11/05/2009,2009,11,500 BLOCK,W Illinois St,11/5/2009,Municipal Waste,Owner Abated,11/13/2009,Not Available,No, 0.0,"500 W Illinois St Urbana, IL"
911001,11/04/2009,2009,11,1100 BLOCK,E Florida Av,11/4/2009,Municipal Waste,Owner Abated,11/6/2009,Not Available,No, 0.0,"1100 E Florida Av Urbana, IL"
911002,11/04/2009,2009,11,1100 BLOCK,W Pennsylvania Av,11/5/2009,Municipal Waste,City Abated,11/13/2009,Not Available,No, 0.0,"1100 W Pennsylvania Av Urbana, IL"
910019,10/30/2009,2009,10,1000 BLOCK,S Philo Rd,10/30/2009,Municipal Waste,Owner Abated,11/2/2009,Not Available,No, 0.0,"1000 S Philo Rd Urbana, IL"
910020,10/30/2009,2009,10,400 BLOCK,W Springfield Av,10/30/2009,Municipal Waste,Owner Abated,11/7/2009,Not Available,No, 0.0,"400 W Springfield Av Urbana, IL"
910018,10/29/2009,2009,10,1400 BLOCK,W Eads St,10/30/2009,Weeds/Grass,City Abated,11/7/2009,Not Available,No, 0.0,"1400 W Eads St Urbana, IL"
910017,10/27/2009,2009,10,1800 BLOCK,S Vine St,10/27/2009,Municipal Waste,Owner Abated,11/4/2009,Not Available,No, 0.0,"1800 S Vine St Urbana, IL"
910016,10/26/2009,2009,10,2200 BLOCK,Country Squire Dr,,Municipal Waste,Invalid,,Not Available,No, 0.0,"2200 Country Squire Dr Urbana, IL"
910013,10/22/2009,2009,10,700 BLOCK,E Green St,10/23/2009,Municipal Waste,Owner Abated,10/31/2009,Not Available,No, 0.0,"700 E Green St Urbana, IL"
910014,10/22/2009,2009,10,200 BLOCK,N Wood St,10/23/2009,Municipal Waste,Owner Abated,10/31/2009,Not Available,No, 0.0,"200 N Wood St Urbana, IL"
910015,10/22/2009,2009,10,1300 BLOCK,S Cottage Grove Av,10/23/2009,Municipal Waste,City Abated,10/31/2009,Not Available,No, 0.0,"1300 S Cottage Grove Av Urbana, IL"
910021,10/22/2009,2009,10,1000 BLOCK,N Berkley Av,10/22/2009,Weeds/Grass,City Abated,10/22/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
910022,10/22/2009,2009,10,1400 BLOCK,W Beslin St,10/22/2009,Weeds/Grass,City Abated,10/22/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
910012,10/21/2009,2009,10,300 BLOCK,S Cottage Grove Av,10/22/2009,Municipal Waste,Owner Abated,10/30/2009,Not Available,No, 0.0,"300 S Cottage Grove Av Urbana, IL"
910010,10/20/2009,2009,10,400 BLOCK,E Main St,10/21/2009,Weeds/Grass,Owner Abated,10/29/2009,Not Available,No, 0.0,"400 E Main St Urbana, IL"
910011,10/20/2009,2009,10,100 BLOCK,S Glover Av,10/21/2009,Weeds/Grass,Owner Abated,10/29/2009,Not Available,No, 0.0,"100 S Glover Av Urbana, IL"
910006,10/13/2009,2009,10,600 BLOCK,W High St,10/13/2009,Municipal Waste,Owner Abated,10/21/2009,Not Available,No, 0.0,"600 W High St Urbana, IL"
910002,10/12/2009,2009,10,1000 BLOCK,E Shurts St,10/13/2009,Weeds/Grass,Owner Abated,10/21/2009,Not Available,No, 0.0,"1000 E Shurts St Urbana, IL"
910003,10/12/2009,2009,10,1100 BLOCK,E Briarcliff Dr,10/13/2009,Weeds/Grass,Owner Abated,10/21/2009,Not Available,No, 0.0,"1100 E Briarcliff Dr Urbana, IL"
910004,10/12/2009,2009,10,1100 BLOCK,E Michigan Av,10/13/2009,Weeds/Grass,Owner Abated,10/21/2009,Not Available,No, 0.0,"1100 E Michigan Av Urbana, IL"
910005,10/12/2009,2009,10,1300 BLOCK,S Cottage Grove Av,10/13/2009,Weeds/Grass,City Abated,10/21/2009,Not Available,No, 0.0,"1300 S Cottage Grove Av Urbana, IL"
910007,10/08/2009,2009,10,1200 BLOCK,S Grant Pl,10/8/2009,Weeds/Grass,City Abated,10/8/2009,Not Available,No, 0.0,"1200 S Grant Pl Urbana, IL"
910008,10/08/2009,2009,10,1400 BLOCK,W Beslin St,10/8/2009,Weeds/Grass,City Abated,10/8/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
910009,10/08/2009,2009,10,1000 BLOCK,N Berkley Av,10/8/2009,Weeds/Grass,City Abated,10/8/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
910001,10/07/2009,2009,10,1600 BLOCK,Ivanhoe Way,10/8/2009,Weeds/Grass,Owner Abated,10/21/2009,Not Available,No, 0.0,"1600 Ivanhoe Way Urbana, IL"
909058,09/30/2009,2009,9,700 BLOCK,W Oregon St,10/1/2009,Weeds/Grass,Owner Abated,10/9/2009,Not Available,No, 0.0,"700 W Oregon St Urbana, IL"
909059,09/30/2009,2009,9,900 BLOCK,S Wabash Av,10/1/2009,Weeds/Grass,City Abated,10/9/2009,Not Available,No, 0.0,"900 S Wabash Av Urbana, IL"
909053,09/29/2009,2009,9,700 BLOCK,N Goodwin Av,9/30/2009,Municipal Waste,Owner Abated,10/8/2009,Not Available,No, 0.0,"700 N Goodwin Av Urbana, IL"
909054,09/29/2009,2009,9,1200 BLOCK,W Hill St,9/30/2009,Weeds/Grass,Owner Abated,10/8/2009,Not Available,No, 0.0,"1200 W Hill St Urbana, IL"
909055,09/29/2009,2009,9,1200 BLOCK,W Hill St,9/30/2009,Weeds/Grass,Owner Abated,10/8/2009,Not Available,No, 0.0,"1200 W Hill St Urbana, IL"
909056,09/29/2009,2009,9,1200 BLOCK,W Hill St,9/30/2009,Weeds/Grass,Owner Abated,10/8/2009,Not Available,No, 0.0,"1200 W Hill St Urbana, IL"
909057,09/29/2009,2009,9,2600 BLOCK,S Lynn St,9/30/2009,Weeds/Grass,Owner Abated,10/8/2009,Not Available,No, 0.0,"2600 S Lynn St Urbana, IL"
909060,09/24/2009,2009,9,1200 BLOCK,S Grant Pl,9/24/2009,Weeds/Grass,City Abated,9/24/2009,Not Available,No, 0.0,"1200 S Grant Pl Urbana, IL"
909061,09/24/2009,2009,9,1200 BLOCK,S Grant Pl,9/24/2009,Municipal Waste,City Abated,9/24/2009,Not Available,No, 0.0,"1200 S Grant Pl Urbana, IL"
909062,09/24/2009,2009,9,1000 BLOCK,N Berkley Av,9/24/2009,Weeds/Grass,City Abated,9/24/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
909063,09/24/2009,2009,9,1400 BLOCK,W Beslin St,9/24/2009,Municipal Waste,City Abated,9/24/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
909064,09/24/2009,2009,9,1400 BLOCK,W Beslin St,9/24/2009,Weeds/Grass,City Abated,9/24/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
909052,09/23/2009,2009,9,100 BLOCK,E Mumford Dr,9/24/2009,Weeds/Grass,Owner Abated,10/2/2009,Not Available,No, 0.0,"100 E Mumford Dr Urbana, IL"
909050,09/22/2009,2009,9,1100 BLOCK,S Race St,9/23/2009,Weeds/Grass,City Abated,10/1/2009,Not Available,No, 0.0,"1100 S Race St Urbana, IL"
909051,09/22/2009,2009,9,1500 BLOCK,S Curtiss Dr,9/23/2009,Municipal Waste,Owner Abated,10/1/2009,Not Available,No, 0.0,"1500 S Curtiss Dr Urbana, IL"
909042,09/21/2009,2009,9,1200 BLOCK,W Beslin St,,Weeds/Grass,Invalid,,Not Available,No, 0.0,"1200 W Beslin St Urbana, IL"
909043,09/21/2009,2009,9,700 BLOCK,S Wabash Av,9/22/2009,Weeds/Grass,City Abated,9/30/2009,Not Available,No, 0.0,"700 S Wabash Av Urbana, IL"
909044,09/21/2009,2009,9,700 BLOCK,S Wabash Av,9/22/2009,Municipal Waste,Owner Abated,9/30/2009,Not Available,No, 0.0,"700 S Wabash Av Urbana, IL"
909045,09/21/2009,2009,9,700 BLOCK,S Wabash Av,9/22/2009,Weeds/Grass,Owner Abated,9/30/2009,Not Available,No, 0.0,"700 S Wabash Av Urbana, IL"
909046,09/21/2009,2009,9,1200 BLOCK,W Beslin St,9/21/2009,Weeds/Grass,Owner Abated,9/24/2009,Not Available,No, 0.0,"1200 W Beslin St Urbana, IL"
909040,09/18/2009,2009,9,1000 BLOCK,S Webber St,9/18/2009,Municipal Waste,City Abated,9/26/2009,Not Available,No, 0.0,"1000 S Webber St Urbana, IL"
909041,09/18/2009,2009,9,1000 BLOCK,S Webber St,9/18/2009,Weeds/Grass,City Abated,9/26/2009,Not Available,No, 0.0,"1000 S Webber St Urbana, IL"
909034,09/16/2009,2009,9,1100 BLOCK,S Cottage Grove Av,6/17/2009,Municipal Waste,Owner Abated,9/25/2009,Not Available,No, 0.0,"1100 S Cottage Grove Av Urbana, IL"
909035,09/16/2009,2009,9,1000 BLOCK,S Rainbow View Dr,9/17/2009,Weeds/Grass,Owner Abated,9/25/2009,Not Available,No, 0.0,"1000 S Rainbow View Dr Urbana, IL"
909036,09/16/2009,2009,9,1100 BLOCK,S Rainbow View Dr,9/17/2009,Weeds/Grass,City Abated,9/25/2009,Not Available,No, 0.0,"1100 S Rainbow View Dr Urbana, IL"
909037,09/16/2009,2009,9,1100 BLOCK,S Rainbow View Dr,9/17/2009,Weeds/Grass,City Abated,9/25/2009,Not Available,No, 0.0,"1100 S Rainbow View Dr Urbana, IL"
909038,09/16/2009,2009,9,900 BLOCK,E University Av,9/17/2009,Weeds/Grass,Owner Abated,9/25/2009,Not Available,No, 0.0,"900 E University Av Urbana, IL"
909039,09/16/2009,2009,9,1400 BLOCK,E Michigan Av,9/17/2009,Weeds/Grass,Owner Abated,9/25/2009,Not Available,No, 0.0,"1400 E Michigan Av Urbana, IL"
909028,09/15/2009,2009,9,2000 BLOCK,Rainbow View,,Municipal Waste,Invalid,,Not Available,No, 0.0,"2000 Rainbow View Urbana, IL"
909029,09/15/2009,2009,9,1900 BLOCK,Weaver St,9/16/2009,Weeds/Grass,Owner Abated,9/24/2009,Not Available,No, 0.0,"1900 Weaver St Urbana, IL"
909030,09/15/2009,2009,9,600 BLOCK,S Coler Av,9/16/2009,Weeds/Grass,Owner Abated,9/24/2009,Not Available,No, 0.0,"600 S Coler Av Urbana, IL"
909031,09/15/2009,2009,9,3000 BLOCK,Stillwater Landing,9/16/2009,Weeds/Grass,Owner Abated,9/24/2009,Not Available,No, 0.0,"3000 Stillwater Landing Urbana, IL"
909032,09/15/2009,2009,9,2000 BLOCK,Rainbow View,9/16/2009,Weeds/Grass,Owner Abated,9/24/2009,Not Available,No, 0.0,"2000 Rainbow View Urbana, IL"
909033,09/15/2009,2009,9,2000 BLOCK,Rainbow View,9/16/2009,Municipal Waste,Owner Abated,9/24/2009,Not Available,No, 0.0,"2000 Rainbow View Urbana, IL"
909027,09/14/2009,2009,9,1000 BLOCK,S Cottage Grove,9/15/2009,Municipal Waste,Owner Abated,9/23/2009,Not Available,No, 0.0,"1000 S Cottage Grove Urbana, IL"
909022,09/10/2009,2009,9,300 BLOCK,E Kerr Av,9/11/2009,Weeds/Grass,Owner Abated,9/19/2009,Not Available,No, 0.0,"300 E Kerr Av Urbana, IL"
909023,09/10/2009,2009,9,900 BLOCK,E Water St,9/11/2009,Weeds/Grass,Owner Abated,9/19/2009,Not Available,No, 0.0,"900 E Water St Urbana, IL"
909024,09/10/2009,2009,9,1300 BLOCK,E Laurel Dr,9/11/2009,Weeds/Grass,Owner Abated,9/19/2009,Not Available,No, 0.0,"1300 E Laurel Dr Urbana, IL"
909025,09/10/2009,2009,9,1000 BLOCK,E Michigan Av,9/11/2009,Municipal Waste,Owner Abated,9/19/2009,Not Available,No, 0.0,"1000 E Michigan Av Urbana, IL"
909026,09/10/2009,2009,9,1000 BLOCK,E Michigan Av,9/11/2009,Weeds/Grass,Owner Abated,9/19/2009,Not Available,No, 0.0,"1000 E Michigan Av Urbana, IL"
909047,09/10/2009,2009,9,1000 BLOCK,N Berkley Av,9/10/2009,Weeds/Grass,City Abated,9/10/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
909048,09/10/2009,2009,9,1400 BLOCK,W Beslin St,9/10/2009,Weeds/Grass,City Abated,9/10/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
909049,09/10/2009,2009,9,1200 BLOCK,S Grant Pl,9/10/2009,Weeds/Grass,City Abated,9/10/2009,Not Available,No, 0.0,"1200 S Grant Pl Urbana, IL"
909019,09/09/2009,2009,9,1900 BLOCK,E Colorado Av,9/10/2009,Weeds/Grass,City Abated,9/18/2009,Not Available,No, 0.0,"1900 E Colorado Av Urbana, IL"
909020,09/09/2009,2009,9,700 BLOCK,E California Av,9/10/2009,Municipal Waste,Owner Abated,9/18/2009,Not Available,No, 0.0,"700 E California Av Urbana, IL"
909021,09/09/2009,2009,9,700 BLOCK,E California Av,9/10/2009,Municipal Waste,Owner Abated,9/18/2009,Not Available,No, 0.0,"700 E California Av Urbana, IL"
909012,09/08/2009,2009,9,1800 BLOCK,Larch Pl,9/9/2009,Municipal Waste,Owner Abated,9/17/2009,Not Available,No, 0.0,"1800 Larch Pl Urbana, IL"
909013,09/08/2009,2009,9,1800 BLOCK,Larch Pl,9/9/2009,Weeds/Grass,Owner Abated,9/17/2009,Not Available,No, 0.0,"1800 Larch Pl Urbana, IL"
909014,09/08/2009,2009,9,1400 BLOCK,S Romine Av,,Weeds/Grass,Invalid,,Not Available,No, 0.0,"1400 S Romine Av Urbana, IL"
909015,09/08/2009,2009,9,2200 BLOCK,S Philo Rd,9/9/2009,Weeds/Grass,Owner Abated,9/17/2009,Not Available,No, 0.0,"2200 S Philo Rd Urbana, IL"
909016,09/08/2009,2009,9,400 BLOCK,S Johnson Av,9/9/2009,Weeds/Grass,Owner Abated,9/17/2009,Not Available,No, 0.0,"400 S Johnson Av Urbana, IL"
909017,09/08/2009,2009,9,900 BLOCK,E Illinois St,9/9/2009,Weeds/Grass,Owner Abated,9/17/2009,Not Available,No, 0.0,"900 E Illinois St Urbana, IL"
909018,09/08/2009,2009,9,1000 BLOCK,E Illinois St,9/9/2009,Weeds/Grass,Owner Abated,9/17/2009,Not Available,No, 0.0,"1000 E Illinois St Urbana, IL"
909007,09/04/2009,2009,9,1200 BLOCK,E Main St,9/4/2009,Municipal Waste,City Abated,9/12/2009,Not Available,No, 0.0,"1200 E Main St Urbana, IL"
909008,09/04/2009,2009,9,1200 BLOCK,E Main St,9/4/2009,Weeds/Grass,City Abated,9/12/2009,Not Available,No, 0.0,"1200 E Main St Urbana, IL"
909009,09/04/2009,2009,9,1300 BLOCK,W Beslin St,9/4/2009,Weeds/Grass,Owner Abated,9/12/2009,Not Available,No, 0.0,"1300 W Beslin St Urbana, IL"
909010,09/04/2009,2009,9,500 BLOCK,W Green St,9/4/2009,Municipal Waste,Owner Abated,9/8/2009,Not Available,No, 0.0,"500 W Green St Urbana, IL"
909011,09/04/2009,2009,9,500 BLOCK,W Green St,9/4/2009,Municipal Waste,Owner Abated,9/8/2009,Not Available,No, 0.0,"500 W Green St Urbana, IL"
909001,09/03/2009,2009,9,500 BLOCK,W California Av,,Weeds/Grass,Invalid,,Not Available,No, 0.0,"500 W California Av Urbana, IL"
909002,09/03/2009,2009,9,2000 BLOCK,S Burlison St,9/4/2009,Weeds/Grass,Owner Abated,9/12/2009,Not Available,No, 0.0,"2000 S Burlison St Urbana, IL"
909003,09/03/2009,2009,9,1700 BLOCK,E Michigan Av,9/4/2009,Weeds/Grass,Owner Abated,9/12/2009,Not Available,No, 0.0,"1700 E Michigan Av Urbana, IL"
909004,09/03/2009,2009,9,1200 BLOCK,W Dublin St,9/4/2009,Weeds/Grass,City Abated,9/12/2009,Not Available,No, 0.0,"1200 W Dublin St Urbana, IL"
909005,09/03/2009,2009,9,1400 BLOCK,S Wiley St,9/4/2009,Municipal Waste,Owner Abated,9/12/2009,Not Available,No, 0.0,"1400 S Wiley St Urbana, IL"
909006,09/03/2009,2009,9,700 BLOCK,E Colorado Av,9/4/2009,Municipal Waste,City Abated,9/12/2009,Not Available,No, 0.0,"700 E Colorado Av Urbana, IL"
908077,08/31/2009,2009,8,800 BLOCK,S Anderson St,9/1/2009,Weeds/Grass,City Abated,9/9/2009,Not Available,No, 0.0,"800 S Anderson St Urbana, IL"
908078,08/31/2009,2009,8,200 BLOCK,S Poplar St,9/1/2009,Weeds/Grass,Owner Abated,9/9/2009,Not Available,No, 0.0,"200 S Poplar St Urbana, IL"
908079,08/31/2009,2009,8,200 BLOCK,S Poplar St,9/1/2009,Weeds/Grass,Owner Abated,9/9/2009,Not Available,No, 0.0,"200 S Poplar St Urbana, IL"
908080,08/31/2009,2009,8,200 BLOCK,S Grove St,9/1/2009,Weeds/Grass,Owner Abated,9/9/2009,Not Available,No, 0.0,"200 S Grove St Urbana, IL"
908081,08/31/2009,2009,8,1100 BLOCK,S Race St,9/1/2009,Weeds/Grass,City Abated,9/9/2009,Not Available,No, 0.0,"1100 S Race St Urbana, IL"
908082,08/31/2009,2009,8,1200 BLOCK,W Eads St,9/1/2009,Weeds/Grass,Owner Abated,9/9/2009,Not Available,No, 0.0,"1200 W Eads St Urbana, IL"
908083,08/31/2009,2009,8,1200 BLOCK,W Eads St,9/1/2009,Weeds/Grass,Owner Abated,9/9/2009,Not Available,No, 0.0,"1200 W Eads St Urbana, IL"
908084,08/31/2009,2009,8,700 BLOCK,E Michigan Av,9/1/2009,Municipal Waste,Owner Abated,9/9/2009,Not Available,No, 0.0,"700 E Michigan Av Urbana, IL"
908085,08/31/2009,2009,8,300 BLOCK,S Grove St,9/1/2009,Municipal Waste,Owner Abated,9/9/2009,Not Available,No, 0.0,"300 S Grove St Urbana, IL"
908086,08/28/2009,2009,8,1000 BLOCK,N Berkley Av,8/28/2009,Weeds/Grass,Owner Abated,8/28/2009,Not Available,No, 0.0,"1000 N Berkley Av Urbana, IL"
908087,08/28/2009,2009,8,1200 BLOCK,S Grant Pl,8/28/2009,Weeds/Grass,Owner Abated,8/28/2009,Not Available,No, 0.0,"1200 S Grant Pl Urbana, IL"
908088,08/28/2009,2009,8,1400 BLOCK,W Beslin St,8/28/2009,Weeds/Grass,Owner Abated,8/28/2009,Not Available,No, 0.0,"1400 W Beslin St Urbana, IL"
